City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Matara,LK,75.88,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
352,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
353,Airai,TL,72.19,overcast clouds,-8.9266,125.4092,
355,Russell,US,51.4,clear sky,32.3502,-85.1999,Macs
356,Sao Felix Do Xingu,BR,72.84,broken clouds,-6.6447,-51.995,Rio Xingu Camping
360,Kaitangata,NZ,65.23,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
361,Knysna,ZA,60.13,light rain,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
364,Mangrol,IN,77.29,clear sky,21.1167,70.1167,Hotel The Royal Honours
365,Hammond,US,48.22,clear sky,41.5834,-87.5,"Courtyard by Marriott Chicago Southeast/Hammond, IN"
366,Manama,BH,66.34,overcast clouds,26.2154,50.5832,Al Safir Hotel
369,Port Shepstone,ZA,71.4,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
372,Devarkonda,IN,74.03,few clouds,16.7,78.9333,Vishnu Priya Ac Lodge
373,Saint Peters,US,59.14,clear sky,38.8003,-90.6265,Extended Stay America - St. Louis - St. Peters
374,Bonthe,SL,77.49,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
377,Luxor,EG,52.32,clear sky,25.6989,32.6421,Iberotel Luxor
381,Balaguer,ES,48.16,overcast clouds,41.7912,0.8109,Hotel Balaguer
385,Pisco,PE,71.65,light rain,-13.7,-76.2167,Hotel San Isidro Oficial
386,Morro Bay,US,69.01,few clouds,35.3658,-120.8499,Inn at Morro Bay
388,Mbumi,TZ,71.73,overcast clouds,-7.9058,39.2105,
390,Pendleton,US,55.63,scattered clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
391,Nador,MA,57.45,clear sky,35.174,-2.9287,Hôtel La Giralda
393,Marawi,PH,77.47,scattered clouds,7.9986,124.2928,Derogongan Residence
394,La Palma,US,70.92,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
396,Castellammare Del Golfo,IT,52.92,overcast clouds,38.0188,12.8858,Cerri Hotel
398,Namibe,AO,71.29,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
400,Cockburn Town,TC,77.79,clear sky,21.4612,-71.1419,Osprey Beach Hotel
