City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Sacramento,US,38.4666,-121.3177,65.82,39,0,4.61,clear sky
231,Lasa,IT,46.6166,10.7002,32.02,83,97,2.68,overcast clouds
232,Beringovskiy,RU,63.05,179.3167,7.16,82,1,6.51,clear sky
233,Puerto Montt,CL,-41.4698,-72.9447,52.63,87,0,9.22,clear sky
234,Lethem,GY,3.3803,-59.7968,81.54,67,100,11.21,overcast clouds
235,Harboore,DK,56.6175,8.1807,38.08,68,100,16.87,overcast clouds
236,Vung Tau,VN,10.346,107.0843,81.37,78,49,17.74,scattered clouds
237,Kalmar,SE,56.6616,16.3616,36.97,93,7,3.0,clear sky
238,Sambava,MG,-14.2667,50.1667,74.7,84,100,7.05,overcast clouds
239,Cidreira,BR,-30.1811,-50.2056,69.31,86,100,12.59,overcast clouds
240,Zuwarah,LY,32.9312,12.082,61.18,59,73,7.2,broken clouds
241,Kruisfontein,ZA,-34.0033,24.7314,58.89,83,100,19.04,light rain
242,Sur,OM,22.5667,59.5289,79.07,38,70,5.84,broken clouds
243,Tananger,NO,58.9333,5.6,44.58,38,0,8.05,clear sky
244,Bethel,US,41.3712,-73.414,28.76,71,100,10.36,overcast clouds
245,Mchinji,MW,-13.7984,32.8802,61.57,97,88,1.97,overcast clouds
246,Komsomolskiy,UZ,40.4272,71.7189,52.52,87,100,6.91,fog
247,Dzaoudzi,YT,-12.7887,45.2699,78.69,94,0,4.61,clear sky
248,Churapcha,RU,62.0025,132.4325,-0.56,92,100,3.44,overcast clouds
249,Laoag,PH,18.1989,120.5936,83.95,63,39,2.59,scattered clouds
250,Severo-Kurilsk,RU,50.6789,156.125,30.4,90,100,6.58,overcast clouds
251,Touros,BR,-5.1989,-35.4608,80.31,77,90,8.16,overcast clouds
252,Ginir,ET,7.1333,40.7,60.06,49,98,2.64,overcast clouds
253,San Carlos De Bariloche,AR,-41.1456,-71.3082,64.15,42,0,11.5,clear sky
254,Ancud,CL,-41.8697,-73.8203,54.23,86,72,5.37,broken clouds
255,San Policarpo,PH,12.1791,125.5072,82.54,79,76,6.91,broken clouds
